gutenberg_id,title,authors
1260,Jane Eyre: An Autobiography,Charlotte Brontë
20203,Autobiography of Benjamin Franklin,Benjamin Franklin
17976,Autobiography of Andrew Carnegie,Andrew Carnegie
7452,Autobiography of a Yogi,Paramahansa Yogananda
2376,Up from Slavery: An Autobiography,Booker T. Washington
10378,Autobiography,John Stuart Mill
19682,Chapters from My Autobiography,Mark Twain
19637,Black Beauty - The Autobiography of a Horse,Anna Sewell
148,The Autobiography of Benjamin Franklin,Benjamin Franklin
3335,Theodore Roosevelt: An Autobiography,Theodore Roosevelt
11962,A Mind That Found Itself: An Autobiography,Clifford Whittingham Beers
52654,The Autobiography of Goethe,Johann Wolfgang von Goethe
7097,"Autobiography of Ma-ka-tai-me-she-kia-kiak, or Black Hawk",Sauk chief Black Hawk
2010,The Autobiography of Charles Darwin,Charles Darwin
67505,"The Life of Clara Barton, Founder of the American Red Cross (Vol. 1 of 2)",William E. Barton
16772,The Story of a Soul (L'Histoire d'une Âme): The Autobiography of St. Thérèse of Lisieux,Saint de Lisieux Thérèse
33992,Autobiography of Z. S. Hastings,Z. S. Hastings
24534,The Autobiography of St. Ignatius,Saint of Loyola Ignatius
1315,Autobiography and Selected Essays,Thomas Henry Huxley
19987,Chapters from My Autobiography,Mark Twain
2523,The Memoirs of Victor Hugo,Victor Hugo
12085,Annie Besant: An Autobiography,Annie Besant
75986,Reminiscences of a student's life,Jane Ellen Harrison
26370,"Mémoires de Hector Berlioz (French)",Hector Berlioz
45847,"The Writings of Thomas Jefferson, Vol. 1 (of 9)",Thomas Jefferson
45847,"The Writings of Thomas Jefferson, Vol. 1 (of 9)",Thomas Jefferson
68616,Anastasia: The autobiography of H.I.H. the Grand Duchess Anastasia Nicholaevna of Russia,Eugenia Smith
8160,Recollections of My Childhood and Youth,Georg Brandes
4028,The Autobiography of Benvenuto Cellini,Benvenuto Cellini
2431,Is Shakespeare Dead?,Mark Twain
35706,All the Days of My Life: An Autobiography,Amelia E. Barr
16434,Autobiography of Friedrich Froebel  translated and annotated by Emilie Michaelis ... and H. Keatley Moore.,Friedrich Fröbel
68804,Three generations,Maud Howe Elliott
5978,An Autobiography of Anthony Trollope,Anthony Trollope
16301,Memoiren einer Sozialistin: Lehrjahre (German),Lily Braun
66840,The Autobiography of Upton Sinclair,Upton Sinclair
2818,Beautiful Joe: An Autobiography,Marshall Saunders
7202,"Ecce homo, Wie man wird, was man ist (German)",Friedrich Wilhelm Nietzsche
56610,Margaret Sanger: an autobiography.,Margaret Sanger
56035,"The Writings of Thomas Jefferson, Vol. 7 (of 9)",Thomas Jefferson
16775,Biographies of distinguished scientific men. First series,F. Arago
30269,My Autobiography: A Fragment,F. Max Müller
70019,The female-impersonators,Ralph Werther
16302,Memoiren einer Sozialistin: Kampfjahre (German),Lily Braun
73426,The autobiography of Arthur Young :  with selections from his correspondence,Arthur Young
63754,All in the Day's Work: An Autobiography,Ida M. Tarbell
71017,Das Gefängnis zum Preußischen Adler :  Eine selbsterlebte Schildbürgerei (German),Bruno Wille
12740,An Autobiography of Buffalo Bill (Colonel W. F. Cody),Buffalo Bill
8460,"Marse Henry: An Autobiography, Complete",Henry Watterson
28183,Shadow and Light,Mifflin Wistar Gibbs
44896,The Autobiography of Parley Parker Pratt,Parley P. Pratt
3422,The Life of the Fly; With Which are Interspersed Some Chapters of Autobiography,Jean-Henri Fabre
11012,The Autobiography of an Ex-Colored Man,James Weldon Johnson
56578,"The Writings of Thomas Jefferson, Vol. 9 (of 9)",Thomas Jefferson
8374,"Alton Locke, Tailor and Poet: An Autobiography",Charles Kingsley
2846,The Life of Flavius Josephus,Flavius Josephus
2317,The Story of My Heart: An Autobiography,Richard Jefferies
74673,My autobiography,Benito Mussolini
53603,"The Writings of Thomas Jefferson, Vol. 4 (of 9)",Thomas Jefferson
56313,"The Writings of Thomas Jefferson, Vol. 8 (of 9)",Thomas Jefferson
1370,Autobiography of Andrew Dickson White — Volume 2,Andrew Dickson White
70766,A daughter of the Samurai,Etsuko Sugimoto
70767,"Frederick Law Olmsted :  Landscape architect. Vol. 1, Early years and experiences, together with biographical notes.",Frederick Law Olmsted
43031,George Fox: An Autobiography,George Fox
33185,Fragments of an Autobiography,Felix Moscheles
45603,Two Wars: An Autobiography of General Samuel G. French,Samuel Gibbs French
19048,Storia di un'anima (Italian),Ambrogio Bazzero
21624,Fifteen Chapters of Autobiography,George William Erskine Russell
50324,Children of the Dead End: The Autobiography of an Irish Navvy,Patrick MacGill
67711,Autobiography of an Androgyne,Ralph Werther
71193,The doctor looks at biography :  Psychological studies of life and letters,Joseph Collins
75800,"John G. Paton, missionary to the New Hebrides, volume 2 (of 3) :  An autobiography edited by his brother",John Gibson Paton
54347,"Autobiography of Sir John Rennie, F.R.S., Past President of the Institute of Civil Engineers",Sir John Rennie
45997,Louis Spohr's Autobiography,Louis Spohr
20768,Memories and Studies,William James
22269,The Autobiography of Madame Guyon,Jeanne Marie Bouvier de la Motte Guyon
68353,Enough rope: poems,Dorothy Parker
34063,Fifty Years a Hunter and Trapper,E. N. Woodcock
41042,Solomon Maimon: An Autobiography.,Solomon Maimon
55075,"The Writings of Thomas Jefferson, Vol. 6 (of 9)",Thomas Jefferson
6500,The Log-Cabin Lady — An Anonymous Autobiography,
49294,Lay Down Your Arms: The Autobiography of Martha von Tilling,Bertha von Suttner
13541,"The Collected Works of Ambrose Bierce, Volume 01",Ambrose Bierce
35586,Reminiscences of a Canadian Pioneer for the last Fifty Years: An Autobiography,Samuel Thompson
36269,"A Few Words About the Devil, and Other Biographical Sketches and Essays",Charles Bradlaugh
41638,An Autobiography,Elizabeth Butler
22372,A Labrador Doctor,Sir Wilfred Thomason Grenfell
24665,A Soldier's Life: Being the Personal Reminiscences of Edwin G. Rundle,Edwin George Rundle
22036,"Recollections of Forty Years in the House, Senate and Cabinet",John Sherman
6567,The Adventure of Living : a Subjective Autobiography,John St. Loe Strachey
36151,Franklin's Autobiography,Benjamin Franklin
15042,"A Narrative of the Most Remarkable Particulars in the Life of James Albert Ukawsaw Gronniosaw, an African Prince, as Related by Himself",James Albert Ukawsaw Gronniosaw
71542,"John G. Paton, missionary to the New Hebrides, volume 1 (of 3) :  An autobiography edited by his brother",John Gibson Paton
12059,The World's Greatest Books — Volume 09 — Lives and Letters,
12236,Death Valley in '49,William Lewis Manly
3127,Being a Boy,Charles Dudley Warner
52387,Gabriele Rossetti: A Versified Autobiography,Gabriele Rossetti
2644,"Isaac Bickerstaff, Physician and Astrologer",Sir Richard Steele
58625,"Hours in a Library, Volume 3",Leslie Stephen
30704,The Record of Nicholas Freydon,A. J. Dawson
52878,"The Writings of Thomas Jefferson, Vol. 3 (of 9)",Thomas Jefferson
65079,Autobiography of Mother Jones,Mother Jones
53767,"The Writings of Thomas Jefferson, Vol. 5 (of 9)",Thomas Jefferson
57094,"The Autobiography of Lieutenant-General Sir Harry Smith, Baronet of Aliwal on the Sutlej, G.C.B.",Sir Harry George Wakelyn Smith
5733,Autobiography: Truth and Fiction Relating to My Life,Johann Wolfgang von Goethe
23333,Ein Mann (German),Joachim Nettelbeck
2779,Mein Leben und Streben (German),Karl May
542,The Life of Me: An Autobiography,Clarence Edgar Johnson
16278,Zuchthausgeschichten von einem ehemaligen Züchtling (German),Joseph M. Hägele
53147,Albert Durer a Venise et dans les Pays-Bas (French),Albrecht Dürer
71696,Recollections of full years,Helen Herron Taft
3538,The Americanization of Edward Bok,Edward William Bok
16474,Lectures and Essays,Thomas Henry Huxley
75794,Voyage musical au pays du passé (French),Romain Rolland
61597,"Eleanor Ormerod, LL. D., Economic Entomologist : Autobiography and Correspondence",Eleanor A. Ormerod
15444,The City and the World and Other Stories,Francis Clement Kelley
55813,Autobiography of a Female Slave,Martha Griffith Browne
73005,Pussy Meow :  The autobiography of a cat,S. Louise Patteson
49003,Marion Harland's Autobiography: The Story of a Long Life,Marion Harland
70689,Slipstream: the autobiography of an air craftsman,Eugene E. Wilson
8459,Marse Henry: An Autobiography (Volume 2),Henry Watterson
74994,"John G. Paton, missionary to the New Hebrides, volume 3 (of 3) :  An autobiography edited by his brother",John Gibson Paton
50046,"The Writings of Thomas Jefferson, Vol. 2 (of 9)",Thomas Jefferson
693,"The Autobiography of a Quack, and The Case of George Dedlow",S. Weir Mitchell
62571,Wellington's Men: Some Soldier Autobiographies,
19167,Billy Whiskers: The Autobiography of a Goat,Frances Trego Montgomery
3175,Mark Twain's Burlesque Autobiography,Mark Twain
19548,"Autobiography of Seventy Years, Vol. 1-2",George Frisbie Hoar
68319,Out of the Briars,A. H. Newton
4220,An Autobiography,Catherine Helen Spence
29263,The Autobiography of Sergeant William Lawrence,William Lawrence
54331,Life of a Pioneer: Being the Autobiography of James S. Brown,James S. Brown
45169,The Autobiography of a Thief,Hutchins Hapgood
38027,Autobiography of Countess Tolstoy,S. A. Tolstaia
50389,"Autobiography of Samuel S. Hildebrand, the Renowned Missouri ""Bushwacker"" and Unconquerable Rob Roy of America",Samuel S. Hildebrand
49824,Kindheit: Autobiographische Novelle (German),graf Leo Tolstoy
7049,Rückblicke (German),Walter Grünfeld
58332,"Autobiography of Miss Cornelia Knight, lady companion to the Princess Charlotte of Wales, Volume 1 (of 2)",Ellis Cornelia Knight
1273,The Autobiography of a Slander,Edna Lyall
40008,The Autobiography of a Cornish Smuggler,Harry Carter
22204,The Making Of A Novelist,David Christie Murray
25941,"Autobiography of Frank G. Allen, Minister of the Gospel",F. G. Allen
